Labels	EY2_2 lifetime	
Type	Time Scan	
Comment		
Start	0.00	
Stop	7.992E007	
Step	8E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

3.96E07	3.023E+3	
3.968E007	3.085E+3	
3.976E007	3.140E+3	
3.984E007	3.148E+3	
3.992E007	3.054E+3	
4E07	3.133E+3	
4.008E007	3.087E+3	
4.016E007	3.106E+3	
4.024E007	2.998E+3	
4.032E007	3.037E+3	
4.04E07	3.009E+3	
4.048E007	3.145E+3	
4.056E007	3.116E+3	
4.064E007	3.075E+3	
4.072E007	2.940E+3	
4.08E07	3.126E+3	
4.088E007	2.971E+3	
4.096E007	2.999E+3	
4.104E007	3.003E+3	
4.112E007	3.082E+3	
4.12E07	3.142E+3	
4.128E007	3.174E+3	
4.136E007	3.082E+3	
4.144E007	2.981E+3	
4.152E007	3.108E+3	
4.16E07	3.013E+3	
4.168E007	3.128E+3	
4.176E007	3.130E+3	
4.184E007	3.081E+3	
4.192E007	3.102E+3	
4.2E07	2.995E+3	
4.208E007	3.124E+3	
4.216E007	2.979E+3	
4.224E007	3.021E+3	
4.232E007	2.990E+3	
4.24E07	3.034E+3	
4.248E007	3.088E+3	
4.256E007	3.000E+3	
4.264E007	3.008E+3	
4.272E007	3.062E+3	
4.28E07	3.055E+3	
4.288E007	3.015E+3	
4.296E007	3.059E+3	
4.304E007	3.022E+3	
4.312E007	3.051E+3	
4.32E07	2.956E+3	
4.328E007	2.942E+3	
4.336E007	3.002E+3	
4.344E007	3.057E+3	
4.352E007	3.049E+3	
4.36E07	3.067E+3	
4.368E007	3.089E+3	
4.376E007	3.090E+3	
4.384E007	3.101E+3	
4.392E007	3.067E+3	
4.4E07	3.022E+3	
4.408E007	3.040E+3	
4.416E007	3.020E+3	
4.424E007	3.127E+3	
4.432E007	2.944E+3	
4.44E07	2.973E+3	
4.448E007	3.039E+3	
4.456E007	3.095E+3	
4.464E007	2.989E+3	
4.472E007	2.987E+3	
4.48E07	2.939E+3	
4.488E007	3.126E+3	
4.496E007	3.065E+3	
4.504E007	2.998E+3	
4.512E007	3.151E+3	
4.52E07	2.992E+3	
4.528E007	2.905E+3	
4.536E007	2.941E+3	
4.544E007	2.967E+3	
4.552E007	2.933E+3	
4.56E07	3.038E+3	
4.568E007	2.988E+3	
4.576E007	3.077E+3	
4.584E007	2.983E+3	
4.592E007	2.939E+3	
4.6E07	2.992E+3	
4.608E007	2.979E+3	
4.616E007	3.006E+3	
4.624E007	2.992E+3	
4.632E007	3.035E+3	
4.64E07	2.974E+3	
4.648E007	2.952E+3	
4.656E007	3.016E+3	
4.664E007	3.103E+3	
4.672E007	2.978E+3	
4.68E07	3.051E+3	
4.688E007	2.944E+3	
4.696E007	3.005E+3	
4.704E007	3.057E+3	
4.712E007	3.118E+3	
4.72E07	2.986E+3	
4.728E007	3.012E+3	
4.736E007	3.039E+3	
4.744E007	3.032E+3	
4.752E007	2.978E+3	
4.76E07	2.989E+3	
4.768E007	2.897E+3	
4.776E007	3.059E+3	
4.784E007	2.990E+3	
4.792E007	3.041E+3	
4.8E07	2.938E+3	
4.808E007	3.078E+3	
4.816E007	3.014E+3	
4.824E007	3.045E+3	
4.832E007	3.046E+3	
4.84E07	2.993E+3	
4.848E007	2.964E+3	
4.856E007	3.021E+3	
4.864E007	2.933E+3	
4.872E007	2.825E+3	
4.88E07	2.961E+3	
4.888E007	2.951E+3	
4.896E007	2.922E+3	
4.904E007	2.863E+3	
4.912E007	2.986E+3	
4.92E07	3.027E+3	
4.928E007	3.062E+3	
4.936E007	3.095E+3	
4.944E007	2.987E+3	
4.952E007	3.004E+3	
4.96E07	3.034E+3	
4.968E007	3.053E+3	
4.976E007	2.916E+3	
4.984E007	2.925E+3	
4.992E007	2.889E+3	
5E07	2.908E+3	
